epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,156.97,1.11041,2.5171,1.73758,0.00333,1,0.43771,0.18015,0.81435,3.58235,1.65947,0.00031673,0.00031673,0.00031673
2,325.894,0.92185,1.71894,1.59283,0.26608,0.50868,0.40099,0.14193,1.99532,3.61766,2.78085,0.00063714,0.00063714,0.00063714
3,498.777,0.89428,1.54221,1.56041,0.45346,0.74451,0.61993,0.4697,0.73144,2.39181,1.8023,0.000944228,0.000944228,0.000944228
4,653.715,0.95088,1.48196,1.62145,0.49667,0.79167,0.60747,0.39932,0.99684,2.29137,2.04781,0.00123799,0.00123799,0.00123799
5,810.432,0.9259,1.42541,1.567,0.34128,0.23031,0.19558,0.05576,2.50812,5.67497,2.94561,0.00151844,0.00151844,0.00151844
6,965.65,0.90814,1.38119,1.55321,0.68736,0.69268,0.71342,0.46357,1.07829,2.01167,1.85734,0.00150047,0.00150047,0.00150047
7,1132.39,0.90922,1.22263,1.55406,0.48544,0.68248,0.59948,0.38701,1.06606,2.19431,2.09318,0.00146716,0.00146716,0.00146716
8,1288.25,0.88992,1.16354,1.53163,0.61747,0.69671,0.64881,0.41965,1.01967,1.86682,1.82866,0.00143385,0.00143385,0.00143385
9,1443.15,0.85485,1.07147,1.51108,0.62395,0.65657,0.60574,0.34501,1.09669,2.0826,1.98837,0.00140055,0.00140055,0.00140055
10,1598.19,0.84323,1.08747,1.50223,0.78926,0.88901,0.91771,0.64984,0.99959,1.50375,1.84092,0.00136724,0.00136724,0.00136724
11,1753.45,0.78313,0.97842,1.43375,0.64729,0.78297,0.82759,0.5109,1.15169,1.86107,1.96172,0.00133393,0.00133393,0.00133393
12,1908.73,0.84228,1.01773,1.48729,0.80129,0.85451,0.89087,0.61045,1.00261,1.51115,1.61282,0.00130063,0.00130063,0.00130063
13,2064.51,0.8052,0.97015,1.43725,0.51573,0.69505,0.69657,0.46288,0.99453,1.66716,1.73291,0.00126732,0.00126732,0.00126732
14,2219.94,0.75663,0.89585,1.42267,0.7717,0.84365,0.87776,0.65546,0.79825,1.10518,1.47508,0.00123401,0.00123401,0.00123401
15,2375.37,0.77603,0.88869,1.41284,0.83728,0.90776,0.93501,0.74719,0.69642,0.98664,1.58538,0.00120071,0.00120071,0.00120071
16,2531.85,0.74332,0.87666,1.40477,0.84642,0.88095,0.91333,0.76414,0.6591,1.17074,1.31435,0.0011674,0.0011674,0.0011674
17,2688.67,0.78733,0.82445,1.45732,0.87832,0.90666,0.95509,0.73952,0.81922,0.95563,1.89559,0.00113409,0.00113409,0.00113409
18,2844.45,0.7182,0.82636,1.3652,0.92138,0.89334,0.96662,0.8442,0.59941,0.8683,1.29081,0.00110079,0.00110079,0.00110079
19,3001.08,0.74916,0.80987,1.39026,0.61399,0.875,0.85172,0.66843,0.67876,1.25721,1.47601,0.00106748,0.00106748,0.00106748
20,3157.55,0.71264,0.75293,1.35406,0.56137,0.8345,0.8298,0.61388,0.85072,1.45312,1.50849,0.00103417,0.00103417,0.00103417
21,3312.53,0.7236,0.75107,1.35876,0.80866,0.88095,0.95813,0.77372,0.70627,0.95348,1.36584,0.00100087,0.00100087,0.00100087
22,3468.1,0.67941,0.74299,1.33042,0.90966,0.91036,0.97875,0.74562,0.73495,0.7806,1.37976,0.00096756,0.00096756,0.00096756
23,3623.88,0.69441,0.73482,1.37318,0.88799,0.92403,0.97217,0.73644,0.92169,0.84891,1.39716,0.000934253,0.000934253,0.000934253
24,3778.18,0.65109,0.74624,1.32622,0.82663,0.91203,0.91221,0.73511,0.70272,0.84656,1.38372,0.000900947,0.000900947,0.000900947
25,3934.65,0.62707,0.68474,1.29582,0.93688,0.94745,0.9833,0.85282,0.59847,0.67212,1.23295,0.00086764,0.00086764,0.00086764
26,4089.64,0.62771,0.64842,1.28232,0.91945,0.93979,0.9842,0.84281,0.55472,0.61752,1.18043,0.000834333,0.000834333,0.000834333
27,4245.1,0.65071,0.69462,1.30106,0.92198,0.92319,0.98079,0.8551,0.58475,0.57026,1.206,0.000801027,0.000801027,0.000801027
28,4399.51,0.59657,0.64027,1.2612,0.91832,0.89537,0.95824,0.83847,0.55782,0.69982,1.14675,0.00076772,0.00076772,0.00076772
29,4554.21,0.60478,0.61181,1.25264,0.89363,0.92811,0.95111,0.81211,0.63885,0.76062,1.23093,0.000734414,0.000734414,0.000734414
30,4708.97,0.62266,0.62407,1.27256,0.93551,0.95736,0.98297,0.83621,0.6485,0.65123,1.22937,0.000701107,0.000701107,0.000701107
31,4864.3,0.64625,0.64896,1.28552,0.92574,0.92903,0.95549,0.84863,0.47191,0.61031,1.0521,0.0006678,0.0006678,0.0006678
32,5019.36,0.58151,0.63258,1.25442,0.93511,0.96198,0.98683,0.85325,0.57374,0.53966,1.18786,0.000634494,0.000634494,0.000634494
33,5173.72,0.57732,0.66772,1.24294,0.94399,0.96427,0.98442,0.84963,0.57603,0.52393,1.19637,0.000601187,0.000601187,0.000601187
34,5328.67,0.5615,0.58219,1.23464,0.92979,0.94533,0.98837,0.88335,0.51287,0.58152,1.09501,0.00056788,0.00056788,0.00056788
35,5483.94,0.53767,0.58061,1.2209,0.90199,0.85362,0.97662,0.85365,0.54501,0.6545,1.13215,0.000534574,0.000534574,0.000534574
36,5638.35,0.57,0.65162,1.21536,0.88044,0.84394,0.92134,0.78369,0.61081,0.74724,1.17885,0.000501267,0.000501267,0.000501267
37,5794.08,0.61971,0.62989,1.28187,0.89064,0.84821,0.94221,0.79719,0.62298,0.65497,1.18065,0.00046796,0.00046796,0.00046796
38,5947.92,0.55482,0.60677,1.22767,0.90235,0.9881,0.97699,0.82115,0.56913,0.55161,1.12916,0.000434654,0.000434654,0.000434654
39,6112.03,0.56147,0.55817,1.2358,0.93806,0.97325,0.98899,0.85112,0.55526,0.52184,1.11852,0.000401347,0.000401347,0.000401347
